bin_index,latency_ms_low,latency_ms_high,latency_ms_center,count,fraction
underflow,,,,0,0.000000000
2,0.4000,0.6000,0.5000,2,0.400000000
3,0.6000,0.8000,0.7000,2,0.400000000
5,1.0000,1.2000,1.1000,1,0.200000000
overflow,,,,0,0.000000000
