bin_index,interval_ms_low,interval_ms_high,interval_ms_center,count,fraction,hz_equivalent
underflow,,,,0,0.000000000,
159,15.9000,16.0000,15.9500,1,0.000198491,62.696
160,16.0000,16.1000,16.0500,2,0.000396983,62.305
169,16.9000,17.0000,16.9500,2034,0.403731640,58.997
170,17.0000,17.1000,17.0500,1867,0.370583565,58.651
179,17.9000,18.0000,17.9500,586,0.116315998,55.710
180,18.0000,18.1000,18.0500,548,0.108773323,55.402
overflow,,,,0,0.000000000,
